946,0.8749,2.434,1.507,1.078,1.334,1.302
948,0.8724,2.423,1.503,1.075,1.33,1.298
950,0.8699,2.415,1.498,1.072,1.325,1.294
952,0.8666,2.405,1.491,1.068,1.32,1.288
954,0.8638,2.396,1.486,1.065,1.315,1.284
956,0.8616,2.387,1.48,1.062,1.311,1.28
958,0.8592,2.379,1.477,1.058,1.308,1.276
960,0.8572,2.371,1.472,1.056,1.305,1.272
962,0.8547,2.364,1.469,1.054,1.302,1.269
964,0.8525,2.355,1.465,1.051,1.298,1.264
966,0.8505,2.347,1.46,1.048,1.296,1.261
968,0.8478,2.338,1.454,1.046,1.29,1.257
970,0.8453,2.329,1.45,1.043,1.287,1.253
972,0.8431,2.32,1.445,1.04,1.283,1.249
974,0.8404,2.309,1.44,1.037,1.279,1.245
976,0.8375,2.302,1.435,1.033,1.274,1.24
978,0.8351,2.294,1.429,1.03,1.27,1.236
980,0.8325,2.285,1.423,1.027,1.266,1.232
982,0.8303,2.277,1.419,1.024,1.262,1.229
984,0.8272,2.266,1.415,1.021,1.258,1.225
986,0.825,2.258,1.41,1.018,1.254,1.22
988,0.8224,2.25,1.405,1.015,1.25,1.217
990,0.8198,2.242,1.399,1.012,1.247,1.213
992,0.8167,2.232,1.395,1.009,1.243,1.209
994,0.8144,2.225,1.389,1.006,1.239,1.205
996,0.8117,2.215,1.385,1.003,1.236,1.2
998,0.8092,2.208,1.38,0.999,1.231,1.196
1000,0.8068,2.199,1.376,0.9964,1.227,1.192
